"","sl_no","word1","freq1","word2","freq2"
"1",1,"htgawm",766,"mobsquad",890
"2",2,"wes",195,"rams",562
"3",3,"just",82,"goff",437
"4",4,"ajanaomiking",81,"jared",435
"5",5,"restingplatypus",78,"willreevejr",277
"6",6,"know",74,"nfl",196
"7",7,"howtogetawayabc",69,"dolphins",161
"8",8,"get",66,"rookie",123
"9",9,"sheet",58,"says",122
"10",10,"eduaubdedubufeduaubcedubfubc",56,"ramsnfl",117
"11",11,"love",53,"will",106
"12",12,"now",50,"finsup",105
"13",13,"like",47,"start",102
"14",14,"nhtgawm",44,"starting",102
"15",15,"away",41,"quarterback",101
"16",16,"episode",41,"coach",83
"17",17,"please",41,"head",83
"18",18,"shonda",41,"time",80
"19",19,"lizaweil",38,"miavsla",79
"20",20,"think",36,"httpstco‚Ä",75
"21",21,"back",35,"line",71
"22",22,"murder",35,"vegas",71
"23",23,"need",35,"https‚Ä",70
"24",24,"killed",34,"theramswire",70
"25",25,"shondarhimes",34,"fisher",67
"26",26,"god",33,"jeff",66
"27",27,"kill",33,"larams",64
"28",28,"will",33,"sunday",61
"29",29,"got",32,"continues",59
"30",30,"much",32,"expect",59
"31",31,"underthesheet",32,"jhekker",59
"32",32,"already",31,"jaredgoff",58
"33",33,"didnt",31,"shift",56
"34",34,"everyone",31,"updated",56
"35",35,"thanks",31,"excited",55
"36",36,"cant",30,"practice",54
"37",37,"nate",30,"first",53
"38",38,"year",29,"pick",53
"39",39,"petenowalk",28,"tough",53
"40",40,"dont",27,"lavsnyj",51
"41",41,"still",27,"dilfer",50
"42",42,"worst",27,"trent",50
"43",43,"damn",26,"britneyspears",45
"44",44,"died",26,"goffs",45
"45",45,"watching",26,"overall",45
"46",46,"belief",25,"now",44
"47",47,"existence",25,"star",44
"48",48,"furthered",25,"doesnt",43
"49",49,"gabbydavidson",25,"icymi",43
"50",50,"spain",25,"news",43
"51",51,"alfred",24,"pop",43
"52",52,"enoch",24,"season",43
"53",53,"gibbons",24,"attends",42
"54",54,"helpnhtgawm",24,"face",42
"55",55,"httpstcoivjudznvqh",24,"handle",42
"56",56,"show",24,"oaks",42
"57",57,"hurts",23,"thousand",42
"58",58,"life",23,"via",42
"59",59,"sorrynhtgawm",23,"chatsports",41
"60",60,"tonight",23,"coaching",41
"61",61,"uufefnhtgawm",23,"eduaubcedubeua",41
"62",62,"bonnie",22,"reports",41
"63",63,"call",22,"staff",41
"64",64,"laurelsgibbin",22,"understand",41
"65",65,"time",22,"week",41
"66",66,"bcz",21,"nnwyche",40
"67",67,"devastated",21,"yards",40
"68",68,"fuck",21,"adam",39
"69",69,"going",21,"gase",39
"70",70,"nit",21,"httpstcob‚Ä",39
"71",71,"parents",21,"new",39
"72",72,"shook",21,"amp",38
"73",73,"want",21,"another",38
"74",74,"heart",20,"eduaubdedubub",38
"75",75,"right",20,"former",38
"76",76,"deserved",19,"http‚Ä",38
"77",77,"gibbins",19,"httpstcolbgqyeoi",38
"78",78,"main",19,"httpstcoyjrmnibyos",38
"79",79,"omg",19,"massive",38
"80",80,"spoilers",19,"puntnn",38
"81",81,"trying",19,"weeknanother",38
"82",82,"whos",19,"win",38
"83",83,"can",18,"enigma",37
"84",84,"dead",18,"isaiah",36
"85",85,"death",18,"pead",36
"86",86,"even",18,"ramsnhttpstcotxqtvmy‚Ä",36
"87",87,"fam",18,"said",36
"88",88,"havent",18,"favor",34
"89",89,"never",18,"money",34
"90",90,"tuning",18,"lwosrams",33
"91",91,"violadavis",18,"named",33
"92",92,"better",17,"nhttps‚Ä",33
"93",93,"finale",17,"thurs",33
"94",94,"httpstcoelczonu",17,"prayers",31
"95",95,"ntgit",17,"httpstcoamgddltik",30
"96",96,"okay",17,"starter",30
"97",97,"peter",17,"teammates",30
"98",98,"returns",17,"terrible",30
"99",99,"worse",17,"eduaubdedubuf",29
"100",100,"believe",16,"family",29
"101",101,"brother",16,"friends",29
"102",102,"characnshonda",16,"got",29
"103",103,"cristallizing",16,"angeles",28
"104",104,"ever",16,"gear",28
"105",105,"find",16,"httpstcoodbhxottsx",28
"106",106,"good",16,"nhttpstcoiquaxuj‚Ä",28
"107",107,"himnhtgawm",16,"stadium",28
"108",108,"httpstcoavkhbfqjj",16,"game",26
"109",109,"see",16,"just",26
"110",110,"watch",16,"today",26
"111",111,"annalise",15,"chance",25
"112",112,"high",15,"light",25
"113",113,"htgawmwinterfinale",15,"miami",24
"114",114,"nuffsaidny",15,"follow",23
"115",115,"seeing",15,"lot",23
"116",116,"tomorrow",15,"mobsquad‚Ä",23
"117",117,"yes",15,"nflgiveaway",23
"118",118,"amp",14,"clairedabear",22
"119",119,"annalises",14,"inc",22
"120",120,"die",14,"janoris",22
"121",121,"eduaubdedubuaeduaubdedubuad",14,"jenkins",22
"122",122,"giagia",14,"packed",22
"123",123,"httpstcohcbnybmdo",14,"prize",22
"124",124,"mattmcgorry",14,"signed",22
"125",125,"nnhtgawm",14,"tgii",22
"126",126,"take",14,"ground",21
"127",127,"twin",14,"player",21
"128",128,"crying",13,"ramsnation",21
"129",129,"east",13,"teams",21
"130",130,"emotional",13,"case",19
"131",131,"fucking",13,"keenum",19
"132",132,"happened",13,"make",19
"133",133,"htgawm‚Ä",13,"birthday",18
"134",134,"ive",13,"can",18
"135",135,"january",13,"daughter",18
"136",136,"lady",13,"rquinn",18
"137",137,"let",13,"stuff",18
"138",138,"live",13,"thats",18
"139",139,"made",13,"tickets",18
"140",140,"rhimes",13,"wanted",18
"141",141,"also",12,"finally",17
"142",142,"eduaubdedubuaeduaubdedubua",12,"nfc",17
"143",143,"evil",12,"raybo",17
"144",144,"george",12,"going",16
"145",145,"mcdreamy",12,"hollywood",16
"146",146,"process",12,"quinn",16
"147",147,"rebecca",12,"special",16
"148",148,"say",12,"change",15
"149",149,"season",12,"fantasyfootball",15
"150",150,"thinking",12,"great",15
"151",151,"week",12,"hospital",15
"152",152,"wow",12,"inglewood",15
"153",153,"calling",11,"job",15
"154",154,"callmestarlord",11,"park",15
"155",155,"cancelled",11,"show",15
"156",156,"classes",11,"young",15
"157",157,"coming",11,"fans",14
"158",158,"connor",11,"break",13
"159",159,"denny",11,"day",13
"160",160,"due",11,"eduaubdedubu",13
"161",161,"eduaubdedubuadeduaubdedubuadeduaubdedubuaa",11,"get",13
"162",162,"enough",11,"jack",13
"163",163,"family",11,"begin",12
"164",164,"greysanatomy",11,"hornsup",12
"165",165,"honor",11,"ramily",12
