"","x"
"1","RT @smilleesims: How they kill off the main character!?? #HTGAWM"
"2","This better be good #HTGAWM"
"3","Oh my god #HTGAWM"
"4","RT @RestingPlatypus: We got through it. Thanks for tuning in fam. #HTGAWM"
"5","Aaaaaaaaaaaarrrrrrrrrrggggggggghhhhhhhhhhhhhhhhhhhh!!!!!!!!!! #HTGAWM"
"6","RT @ajanaomi_king: OH GOD PLEASE HELP
#HTGAWM https://t.co/IvjuDznVQH"
"7","RT @kamm_kroh: Welcome to Shondaland. Where Shonda Rhimes rips your heart out on a weekly basis. #HTGAWM #GreysAnatomy"
"8","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"9","RT @ajanaomi_king: Ok I'm here now. Please watch with a friend, love you all!
#HTGAWM"
"10","RT @funbeaz: Pretty much
#HTGAWM https://t.co/4FHK4HGzfP"
"11","RT @ajanaomi_king: Only a few more hours to know the answer to the question that has plagued us all!
#HTGAWM
#underthesheet https://t.co/40…"
"12","RT @TheGameOfNerds: Ruh-roh: Annalise's face when Bonnie told Frank ""That night meant everything to me."" #HTGAWM #TGIT #HTGAWMNerdom https:…"
"13","RT @gabbydavidson_: how to get away with murder just furthered my belief that 2016 is the worst year in existence #HTGAWM"
"14","RT @anjprowse: I'd rather be damaged than fake. Damn @RestingPlatypus burned Oliver. Hahaha #htgawm"
"15","No bloody wayyyyyyy <ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> #HTGAWM"
"16","RT @damola_ososanya: Someone already spoilt #HTGAWM for me, thanks a whole fuckinh bunch, I hope they spoil it for you when your man is goi…"
"17","It's not Connor but that still fucked me up #HTGAWM https://t.co/pcLUi9sphx"
"18","RT @GeeksOfColor: Just found out who was under the sheet on #HTGAWM https://t.co/gALnSAr39F"
"19","Yasmine just watched episode S03E09 of Murder! #HTGAWM  https://t.co/YUhyFVOgWt https://t.co/04RhQ9KMmF"
"20","RT @itsgregorio__: why <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> does <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> shonda <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> rhimes <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> play <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> games <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> with <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> my <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> heart #htgawm #greysanatomy"
"21","RT @emmjolras: @RestingPlatypus TAKE THE EPISODE BACK CANCEL IT EVERYONE IS HAPPY AND ALIVE #HTGAWM"
"22","OLLIE SHIT  #HTGAWM"
"23","trump is president of the US, glenn dies, wes dies 2016 is disgusting #HTGAWM"
"24","RT @Gia98Gia: After seeing who was under the sheet #HTGAWMWinterFinale #HTGAWM https://t.co/HCB8NYbMdo"
"25","RT @halfhalaltrash: Me thinking Nate died in #htgawm vs after finding out it's Wes https://t.co/dOzRZki33f"
"26","RT @ajanaomi_king: I have to go call my parents now bcz I know they will be devastated ...
It hurts us too :(
#HTGAWM"
"27","RT @RestingPlatypus: We got through it. Thanks for tuning in fam. #HTGAWM"
"28","RT @amarisbates: Don't speak to me for the rest of the year, I'll be mourning #HTGAWM #underthesheet"
"29","RT @laurelsgibbin: HE NEVER GOT TO BE TRULY HAPPY. #htgawm
#ripwesgibbins
ONLY FOR LIKE 3 EPISODES. https://t.co/AY7q9N0zTX"
"30","RT @liza_weil: I love you Wes Gibbons. I love you Alfred Enoch. <U+2764><U+FE0F>
#HTGAWM"
"31","RT @TheWrap: #HTGAWM: Dear Shonda, This is Why We Have Trust Issues https://t.co/v5KEsjOQoB https://t.co/JN2nx6OEhl"
"32","WHAT KIND OF #HTGAWM"
"33","RT @laurenadinab: HAVEN'T WE BEEN THROUGH ENOUGH IN 2016 #HTGAWM"
"34","Dawg dem really kill off Wes to pussyclaat #HTGAWM"
"35","RT @munaism: I think classes should be cancelled nationwide for a week due to high emotional stress #htgawm"
"36","The first half of this season....woooooo. Been so much talent &amp; suspense for my fragile heart #HTGAWM"
"37","RT @conradricamora: Thanks for watching #htgawm fans. I know what ur going through. I'm right there with you. <U+2764><U+FE0F>"
"38","Conner killed Wes #HTGAWM"
"39","- to have people pressurize him&amp; hate him and to FINALLY HAVE a chance at happiness for that to be taken away from him. Thanks aLot #HTGAWM"
"40",".@petenowalk @shondarhimes How long did you know it was Wes? When did the cast know? I need ANSWERS! #HTGAWM"
"41","RT @ajanaomi_king: For those that already know ...I'm so sorry.
#HTGAWM"
"42","#HTGAWM just started trending with 213638 tweets. More trends at https://t.co/do7HdxeBvE #trndnl"
"43","RT @ajanaomi_king: OH GOD PLEASE HELP
#HTGAWM https://t.co/IvjuDznVQH"
